,original_feature_name,features,importances,colors
221,fourier.value.1byte.112,$Fourier$ $raw$ $value$ $112$ $(1$ $byte)$,0.001299895494294096,blue
222,fourier.value.1byte.141,$Fourier$ $raw$ $value$ $141$ $(1$ $byte)$,0.0012965515043840115,blue
223,fourier.value.1byte.135,$Fourier$ $raw$ $value$ $135$ $(1$ $byte)$,0.001293568604874018,blue
224,fourier.value.1byte.199,$Fourier$ $raw$ $value$ $199$ $(1$ $byte)$,0.001293085697757916,blue
225,fourier.value.4byte.229,$Fourier$ $raw$ $value$ $229$ $(4$ $bytes)$,0.001292790105080856,blue
226,fourier.value.1byte.24,$Fourier$ $raw$ $value$ $24$ $(1$ $byte)$,0.0012920495681752143,blue
227,fourier.value.4byte.133,$Fourier$ $raw$ $value$ $133$ $(4$ $bytes)$,0.0012872314172819575,blue
228,fourier.value.1byte.4,$Fourier$ $raw$ $value$ $4$ $(1$ $byte)$,0.0012862557086524768,blue
229,fourier.value.1byte.67,$Fourier$ $raw$ $value$ $67$ $(1$ $byte)$,0.0012860864699120176,blue
230,fourier.value.1byte.100,$Fourier$ $raw$ $value$ $100$ $(1$ $byte)$,0.0012859827063723829,blue
231,fourier.value.1byte.72,$Fourier$ $raw$ $value$ $72$ $(1$ $byte)$,0.0012849011098465496,blue
232,fourier.value.4byte.8,$Fourier$ $raw$ $value$ $8$ $(4$ $bytes)$,0.00128156517270444,blue
233,fourier.value.1byte.172,$Fourier$ $raw$ $value$ $172$ $(1$ $byte)$,0.0012811609768018334,blue
234,fourier.value.1byte.76,$Fourier$ $raw$ $value$ $76$ $(1$ $byte)$,0.0012805714025694922,blue
235,fourier.value.1byte.56,$Fourier$ $raw$ $value$ $56$ $(1$ $byte)$,0.0012755312042256053,blue
236,fourier.value.1byte.11,$Fourier$ $raw$ $value$ $11$ $(1$ $byte)$,0.0012710476491425578,blue
237,fourier.value.1byte.6,$Fourier$ $raw$ $value$ $6$ $(1$ $byte)$,0.0012706360986691168,blue
238,fourier.value.4byte.118,$Fourier$ $raw$ $value$ $118$ $(4$ $bytes)$,0.0012649374522595797,blue
239,fourier.value.1byte.61,$Fourier$ $raw$ $value$ $61$ $(1$ $byte)$,0.0012632046912381953,blue
240,fourier.value.4byte.132,$Fourier$ $raw$ $value$ $132$ $(4$ $bytes)$,0.001262627626325529,blue
241,fourier.value.1byte.35,$Fourier$ $raw$ $value$ $35$ $(1$ $byte)$,0.0012607901622310633,blue
242,fourier.value.1byte.133,$Fourier$ $raw$ $value$ $133$ $(1$ $byte)$,0.0012605316656662318,blue
243,fourier.stat.4byte.moment.3,$Fourier$ $3^{rd}$ ${moment}$ $(4$ $bytes)$,0.001259953134230104,blue
244,fourier.value.1byte.152,$Fourier$ $raw$ $value$ $152$ $(1$ $byte)$,0.0012552923340146734,blue
245,fourier.value.1byte.185,$Fourier$ $raw$ $value$ $185$ $(1$ $byte)$,0.0012531119445140652,blue
246,fourier.value.1byte.231,$Fourier$ $raw$ $value$ $231$ $(1$ $byte)$,0.0012525105117277258,blue
